arm,n,dtype,readout,convention,reported,null,delta_pp,ci95_lo_pp,ci95_hi_pp,boot_p,verdict,residual_fraction
7B_keep14_step200000,14042,fp32,content_raw,last,0.354437,0.282154,7.2283,6.0177,8.4176,0.0001,above the null,0.203938
7B_keep14_step200000,14042,fp32,content_raw,credit,0.354437,0.45371,-9.9274,-11.1879,-8.6669,0.0001,BELOW the null,-0.280088
7B_keep14_step200000,14042,fp32,content_raw,wrong,0.354437,0.196126,15.8311,14.6703,16.9492,0.0001,above the null,0.446655
7B_keep12_step124000,14042,bf16,content_norm,split,0.362911,0.28445,7.8461,6.9084,8.7636,0.0001,above the null,0.216199
7B_keep12_step124000,14042,bf16,content_norm,first,0.362911,0.281085,8.1826,7.1783,9.1654,0.0001,above the null,0.225471
7B_keep12_step124000,14042,bf16,content_norm,last,0.362911,0.282154,8.0758,7.0788,9.0728,0.0001,above the null,0.222527
7B_keep12_step124000,14042,bf16,content_norm,credit,0.362911,0.45371,-9.0799,-10.141,-8.04,0.0001,BELOW the null,-0.250196
7B_keep12_step124000,14042,bf16,content_norm,wrong,0.362911,0.196126,16.6785,15.7314,17.6257,0.0001,above the null,0.459576
7B_keep12_step124000,14042,bf16,content_raw,split,0.341903,0.28445,5.7453,4.5904,6.864,0.0001,above the null,0.168038
7B_keep12_step124000,14042,bf16,content_raw,first,0.341903,0.281085,6.0818,4.8496,7.2639,0.0001,above the null,0.17788
7B_keep12_step124000,14042,bf16,content_raw,last,0.341903,0.282154,5.9749,4.7572,7.15,0.0001,above the null,0.174755
7B_keep12_step124000,14042,bf16,content_raw,credit,0.341903,0.45371,-11.1807,-12.4626,-9.9202,0.0001,BELOW the null,-0.327015
7B_keep12_step124000,14042,bf16,content_raw,wrong,0.341903,0.196126,14.5777,13.431,15.6958,0.0001,above the null,0.42637
7B_keep12_step124000,14042,fp32,content_norm,split,0.363267,0.28445,7.8817,6.9583,8.7885,0.0001,above the null,0.216967
7B_keep12_step124000,14042,fp32,content_norm,first,0.363267,0.281085,8.2182,7.2141,9.1938,0.0001,above the null,0.22623
7B_keep12_step124000,14042,fp32,content_norm,last,0.363267,0.282154,8.1114,7.1144,9.1013,0.0001,above the null,0.22329
7B_keep12_step124000,14042,fp32,content_norm,credit,0.363267,0.45371,-9.0443,-10.0912,-7.9974,0.0001,BELOW the null,-0.248971
7B_keep12_step124000,14042,fp32,content_norm,wrong,0.363267,0.196126,16.7141,15.767,17.6615,0.0001,above the null,0.460106
7B_keep12_step124000,14042,fp32,content_raw,split,0.341262,0.28445,5.6812,4.528,6.7993,0.0001,above the null,0.166475
7B_keep12_step124000,14042,fp32,content_raw,first,0.341262,0.281085,6.0177,4.7856,7.2,0.0001,above the null,0.176336
7B_keep12_step124000,14042,fp32,content_raw,last,0.341262,0.282154,5.9108,4.7073,7.0861,0.0001,above the null,0.173205
7B_keep12_step124000,14042,fp32,content_raw,credit,0.341262,0.45371,-11.2448,-12.5126,-9.9772,0.0001,BELOW the null,-0.329508
7B_keep12_step124000,14042,fp32,content_raw,wrong,0.341262,0.196126,14.5136,13.3742,15.6388,0.0001,above the null,0.425292
7B_keep10_step83500,14042,bf16,content_norm,split,0.344467,0.28445,6.0016,5.0835,6.8859,0.0001,above the null,0.17423
7B_keep10_step83500,14042,bf16,content_norm,first,0.344467,0.281085,6.3381,5.3625,7.2995,0.0001,above the null,0.183998
7B_keep10_step83500,14042,bf16,content_norm,last,0.344467,0.282154,6.2313,5.2414,7.2283,0.0001,above the null,0.180897
7B_keep10_step83500,14042,bf16,content_norm,credit,0.344467,0.45371,-10.9244,-11.9499,-9.8989,0.0001,BELOW the null,-0.317139
7B_keep10_step83500,14042,bf16,content_norm,wrong,0.344467,0.196126,14.8341,13.8869,15.7527,0.0001,above the null,0.430639
7B_keep10_step83500,14042,bf16,content_raw,split,0.323031,0.28445,3.8581,2.734,4.9757,0.0001,above the null,0.119433
7B_keep10_step83500,14042,bf16,content_raw,first,0.323031,0.281085,4.1946,2.991,5.3696,0.0001,above the null,0.12985
7B_keep10_step83500,14042,bf16,content_raw,last,0.323031,0.282154,4.0877,2.9056,5.2557,0.0001,above the null,0.126543
7B_keep10_step83500,14042,bf16,content_raw,credit,0.323031,0.45371,-13.0679,-14.3213,-11.8074,0.0001,BELOW the null,-0.404541
7B_keep10_step83500,14042,bf16,content_raw,wrong,0.323031,0.196126,12.6905,11.5582,13.8157,0.0001,above the null,0.392857
7B_keep10_step83500,14042,fp32,content_norm,split,0.345392,0.28445,6.0942,5.1797,6.9844,0.0001,above the null,0.176443
7B_keep10_step83500,14042,fp32,content_norm,first,0.345392,0.281085,6.4307,5.4479,7.385,0.0001,above the null,0.186186
7B_keep10_step83500,14042,fp32,content_norm,last,0.345392,0.282154,6.3239,5.334,7.3209,0.0001,above the null,0.183093
7B_keep10_step83500,14042,fp32,content_norm,credit,0.345392,0.45371,-10.8318,-11.8573,-9.8134,0.0001,BELOW the null,-0.313608
7B_keep10_step83500,14042,fp32,content_norm,wrong,0.345392,0.196126,14.9266,13.9866,15.8524,0.0001,above the null,0.432165
7B_keep10_step83500,14042,fp32,content_raw,split,0.323316,0.28445,3.8866,2.7531,4.9981,0.0001,above the null,0.120209
7B_keep10_step83500,14042,fp32,content_raw,first,0.323316,0.281085,4.223,3.0266,5.4123,0.0001,above the null,0.130617
7B_keep10_step83500,14042,fp32,content_raw,last,0.323316,0.282154,4.1162,2.9341,5.277,0.0001,above the null,0.127313
7B_keep10_step83500,14042,fp32,content_raw,credit,0.323316,0.45371,-13.0395,-14.2786,-11.7861,0.0001,BELOW the null,-0.403304
7B_keep10_step83500,14042,fp32,content_raw,wrong,0.323316,0.196126,12.719,11.5936,13.8301,0.0001,above the null,0.393392
7B_keep8_step121000,14042,bf16,content_norm,split,0.342259,0.28445,5.7809,4.8646,6.6693,0.0001,above the null,0.168903
7B_keep8_step121000,14042,bf16,content_norm,first,0.342259,0.281085,6.1174,5.1346,7.093,0.0001,above the null,0.178735
7B_keep8_step121000,14042,bf16,content_norm,last,0.342259,0.282154,6.0105,5.0064,7.0004,0.0001,above the null,0.175614
7B_keep8_step121000,14042,bf16,content_norm,credit,0.342259,0.45371,-11.1451,-12.1778,-10.1337,0.0001,BELOW the null,-0.325635
7B_keep8_step121000,14042,bf16,content_norm,wrong,0.342259,0.196126,14.6133,13.6733,15.5462,0.0001,above the null,0.426966
7B_keep8_step121000,14042,bf16,content_raw,split,0.321891,0.28445,3.7441,2.5952,4.8551,0.0001,above the null,0.116316
7B_keep8_step121000,14042,bf16,content_raw,first,0.321891,0.281085,4.0806,2.87,5.2558,0.0001,above the null,0.12677
7B_keep8_step121000,14042,bf16,content_raw,last,0.321891,0.282154,3.9738,2.763,5.1417,0.0001,above the null,0.123451
7B_keep8_step121000,14042,bf16,content_raw,credit,0.321891,0.45371,-13.1819,-14.4566,-11.9568,0.0001,BELOW the null,-0.409513
7B_keep8_step121000,14042,bf16,content_raw,wrong,0.321891,0.196126,12.5766,11.43,13.6875,0.0001,above the null,0.390708
7B_keep8_step121000,14042,fp32,content_norm,split,0.342686,0.28445,5.8236,4.9162,6.7257,0.0001,above the null,0.16994
7B_keep8_step121000,14042,fp32,content_norm,first,0.342686,0.281085,6.1601,5.1773,7.1357,0.0001,above the null,0.179759
7B_keep8_step121000,14042,fp32,content_norm,last,0.342686,0.282154,6.0533,5.0491,7.0503,0.0001,above the null,0.176642
7B_keep8_step121000,14042,fp32,content_norm,credit,0.342686,0.45371,-11.1024,-12.1352,-10.084,0.0001,BELOW the null,-0.323982
7B_keep8_step121000,14042,fp32,content_norm,wrong,0.342686,0.196126,14.656,13.716,15.5889,0.0001,above the null,0.427681
7B_keep8_step121000,14042,fp32,content_raw,split,0.321535,0.28445,3.7085,2.5756,4.8112,0.0001,above the null,0.115338
7B_keep8_step121000,14042,fp32,content_raw,first,0.321535,0.281085,4.045,2.8484,5.2058,0.0001,above the null,0.125803
7B_keep8_step121000,14042,fp32,content_raw,last,0.321535,0.282154,3.9382,2.7275,5.099,0.0001,above the null,0.122481
7B_keep8_step121000,14042,fp32,content_raw,credit,0.321535,0.45371,-13.2175,-14.4922,-11.9997,0.0001,BELOW the null,-0.411074
7B_keep8_step121000,14042,fp32,content_raw,wrong,0.321535,0.196126,12.5409,11.3944,13.6519,0.0001,above the null,0.390033
